id,name,realName
136,135,Picoides arcticus,Black-backed woodpecker
137,136,Aythya marila,Greater scaup
138,137,Phaethon aethereus,Red-billed tropicbird
139,138,Sturnella magna,Eastern meadowlark
140,139,Melopsittacus undulatus,Budgerigar
141,140,Aythya affinis,Lesser scaup
142,141,Aythya novaeseelandiae,New Zealand scaup
143,142,Cyrtonyx montezumae,Montezuma quail
144,143,Pelecanus occidentalis,Brown pelican
145,144,Cinclus cinclus,White-throated dipper
146,145,Chen rossii,Ross's goose
147,146,Callipepla californica,California quail
148,147,Quiscalus quiscula,Common grackle
149,148,Quiscalus mexicanus,Great-tailed grackle
150,149,Callipepla squamata,Scaled quail
151,150,Dryocopus pileatus,Pileated woodpecker
152,151,Passerina caerulea,Blue grosbeak
153,152,Amazilia beryllina,Berylline hummingbird
154,153,Geothlypis trichas,Common yellowthroat
155,154,Trogon melanocephalus,Black-headed trogon
156,155,Sylvia communis,Common whitethroat
157,156,Pinicola enucleator,Pine grosbeak
158,157,Coccothraustes vespertinus,Evening grosbeak
159,158,Coccothraustes coccothraustes,Hawfinch
160,159,Vermivora chrysoptera,Golden-winged warbler
161,160,Opisthocomus hoazin,Hoatzin
162,161,Setophaga coronata coronata,Setophaga coronata coronata
163,162,Diglossa baritula,Cinnamon-bellied flowerpiercer
164,163,Saltator coerulescens,Bluish-grey saltator
165,164,Saltator atriceps,Black-headed saltator
166,165,Sicalis flaveola,Saffron finch
167,166,Aix galericulata,Mandarin duck
168,167,Junco hyemalis hyemalis,Junco hyemalis hyemalis
169,168,Eupsittula canicularis,Orange-fronted parakeet
170,169,Microcarbo melanoleucos,Little pied cormorant
171,170,Piranga rubra,Summer tanager
172,171,Piranga olivacea,Scarlet tanager
173,172,Piranga flava,Hepatic tanager
174,173,Amphispiza bilineata,Black-throated sparrow
175,174,Larus dominicanus,Kelp gull
176,175,Piaya cayana,Squirrel cuckoo
177,176,Aimophila ruficeps,Rufous-crowned sparrow
178,177,Melanerpes lewis,Lewis's woodpecker
179,178,Melanerpes uropygialis,Gila woodpecker
180,179,Passerculus sandwichensis,Savannah sparrow
181,180,Melanerpes pucherani,Black-cheeked woodpecker
182,181,Salpinctes obsoletus,Rock wren
183,182,Melanerpes carolinus,Red-bellied woodpecker
184,183,Melanerpes chrysogenys,Golden-cheeked woodpecker
185,184,Melanerpes formicivorus,Acorn woodpecker
186,185,Colaptes auratus,Northern flicker
187,186,Basileuterus rufifrons,Rufous-capped warbler
188,187,Larus michahellis,Yellow-legged gull
189,188,Ramphocelus passerinii,Scarlet-rumped tanager
190,189,Athene cunicularia,Burrowing owl
191,190,Branta hutchinsii,Cackling goose
192,191,Fringilla montifringilla,Brambling
193,192,Fringilla coelebs,Common chaffinch
194,193,Junco hyemalis,Dark-eyed junco
195,194,Cuculus canorus,Common cuckoo
196,195,Junco phaeonotus,Yellow-eyed junco
197,196,Ammodramus nelsoni,Nelson's sparrow
198,197,Ammodramus savannarum,Grasshopper sparrow
199,198,Ammodramus maritimus,Seaside sparrow
200,199,Coccyzus erythropthalmus,Black-billed cuckoo
201,200,Coccyzus minor,Mangrove cuckoo
202,201,Coccyzus americanus,Yellow-billed cuckoo
203,202,Nucifraga columbiana,Clark's nutcracker
204,203,Crotophaga sulcirostris,Groove-billed ani
205,204,Pooecetes gramineus,Vesper sparrow
206,205,Arremonops rufivirgatus,Olive sparrow
207,206,Geococcyx californianus,Greater roadrunner
208,207,Geococcyx velox,Lesser roadrunner
209,208,Coereba flaveola,Bananaquit
210,209,Passerina ciris,Painted bunting
211,210,Alectura lathami,Australian brushturkey
212,211,Passerina leclancherii,Orange-breasted bunting
213,212,Passerina amoena,Lazuli bunting
214,213,Icteria virens,Yellow-breasted chat
215,214,Crax rubra,Great curassow
216,215,Penelope purpurascens,Crested guan
217,216,Copsychus malabaricus,White-rumped shama
218,217,Paroaria capitata,Yellow-billed cardinal
219,218,Cyanerpes cyaneus,Red-legged honeycreeper
220,219,Microcarbo melanoleucos brevirostris,Microcarbo melanoleucos brevirostris
221,220,Sphyrapicus thyroideus,Williamson's sapsucker
222,221,Pheucticus ludovicianus,Rose-breasted grosbeak
223,222,Sphyrapicus ruber,Red-breasted sapsucker
224,223,Pheucticus melanocephalus,Black-headed grosbeak
225,224,Sphyrapicus nuchalis,Red-naped sapsucker
226,225,Ortalis poliocephala,West Mexican chachalaca
227,226,Ortalis vetula,Plain chachalaca
228,227,Corvus albus,Pied crow
229,228,Mniotilta varia,Black-and-white warbler
230,229,Volatinia jacarina,Blue-black grassquit
231,230,Thraupis palmarum,Palm tanager
232,231,Momotus mexicanus,Russet-crowned motmot
233,232,Euphagus cyanocephalus,Brewer's blackbird
234,233,Cacatua galerita,Sulphur-crested cockatoo
235,234,Junco hyemalis oreganus,Junco hyemalis oreganus
236,235,Pluvialis fulva,Pacific golden plover
237,236,Molothrus aeneus,Bronzed cowbird
238,237,Molothrus ater,Brown-headed cowbird
239,238,Merops pusillus,Little bee-eater
240,239,Merops apiaster,European bee-eater
241,240,Pteroglossus torquatus,Collared aracari
242,241,Loxia curvirostra,Red crossbill
243,242,Merops orientalis,Asian green bee-eater
244,243,Loxia leucoptera,Two-barred crossbill
245,244,Coracias garrulus,European roller
246,245,Coracias caudatus,Lilac-breasted roller
247,246,Coracias benghalensis,Indian roller
248,247,Xanthocephalus xanthocephalus,Yellow-headed blackbird
249,248,Chondestes grammacus,Lark sparrow
250,249,Dolichonyx oryzivorus,Bobolink
251,250,Pandion haliaetus,Osprey
252,251,Phainopepla nitens,Phainopepla
253,252,Tyrannus couchii,Couch's kingbird
